Year,Quarter,RGDP,RIR,INF,PSC,Exch_rate,,,
2004,Q1,4.2,4.8,7.5,8.4,76.20333333,,,
2004,Q2,4.6,6.3,6.9,10.1,76.84333333,,,
2004,Q3,5.3,-3.5,15.8,11.8,76.65,,,
2004,Q4,6.3,-0.1,16.3,12.4,78.80666667,,,
2005,Q1,5.5,-1.5,14.1,15.2,80.51333333,,,
2005,Q2,6.2,1.8,11.9,14.8,80.72333333,,,
2005,Q3,5.9,8.7,4.3,12.1,76.55666667,,,
2005,Q4,6,5.5,4.7,10.5,76.41,,,
2006,Q1,4.1,-5.1,19.1,9.8,75.38,,,
2006,Q2,7.6,2.7,10.9,10.4,73.85333333,,,
2006,Q3,6.8,-1.6,15.2,11.3,72.09666667,,,
2006,Q4,7.2,-1.9,15.6,10.9,72.15666667,,,
2007,Q1,7.3,4.1,9.2,12.4,73.13333333,,,
2007,Q2,7.9,2.2,11.1,13.1,71.01666667,,,
2007,Q3,6.4,1.4,11.9,14.8,69.6,,,
2007,Q4,5.8,1.3,12,16.5,67.45,,,
2008,Q1,-1.1,-1.5,15.5,22.4,67.01333333,,,
2008,Q2,3.2,-15.1,29.3,24.1,65.21333333,,,
2008,Q3,2.7,-14.2,28.2,26.5,67.87333333,,,
2008,Q4,0,-11.1,25.1,19.2,62.64666667,,,
2009,Q1,3.9,-0.9,15.7,18.5,68.59666667,,,
2009,Q2,2.3,6.4,8.4,16.2,77.62666667,,,
2009,Q3,2.5,8.1,6.7,14.5,79.58,,,
2009,Q4,4.1,9.6,5.3,15.1,78.44666667,,,
2010,Q1,4.4,10.2,4.3,14.8,76.24333333,,,
2010,Q2,5.4,11.4,3.5,17.2,75.13666667,,,
2010,Q3,6.1,11.1,3.2,19.5,76.49,,,
2010,Q4,7.1,10.6,3.8,20.3,78.93666667,,,
2011,Q1,4.8,1.9,7.2,24,80.92666667,,,
2011,Q2,3.5,0.8,13.5,28,80.58,,,
2011,Q3,5.8,-2.1,16.5,31,82.23666667,,,
2011,Q4,2.4,-4.5,18.9,30.5,86.12333333,,,
2012,Q1,3.9,4.6,17.1,22.4,93.01666667,,,
2012,Q2,4.4,7.8,11.4,15.6,93.87,,,
2012,Q3,4.7,14.5,6.2,10.4,84.14,,,
2012,Q4,5.5,15.1,3.7,11.7,84.12,,,
2013,Q1,5.2,14.2,4.1,12.1,84.27666667,,,
2013,Q2,4.3,13.5,4.6,14.5,85.57666667,,,
2013,Q3,6.8,10.1,7,17,86.72333333,,,
2013,Q4,5.7,9.4,7.2,20.1,84.61,,,
2014,Q1,5.2,10.1,7.1,20.2,87.25333333,,,
2014,Q2,6,10.5,7,25.8,85.90666667,,,
2014,Q3,5.2,11.3,7.5,24.8,86.32666667,,,
2014,Q4,5.4,11.9,6,22.2,87.24666667,,,
2015,Q1,5.7,9.8,5.8,16.5,88.24,,,
2015,Q2,5.6,9.1,7,18,89.87666667,,,
2015,Q3,5.8,12.2,6.1,21,91.52666667,,,
2015,Q4,5.4,10.4,7.4,18,95.84666667,,,
2016,Q1,5,11.1,7,14.8,102.97,,,
2016,Q2,6.2,11.5,5.3,12.4,102.3833333,,,
2016,Q3,5.3,10.8,6.3,5.3,101.91,,,
2016,Q4,4.6,7.2,6.4,4.3,101.0366667,,,
2017,Q1,5.2,4.3,8.8,4,101.3366667,,,
2017,Q2,4.5,4.6,10.8,1.5,101.7333333,,,
2017,Q3,4.5,6.1,7.5,1.7,103.4133333,,,
2017,Q4,3.3,9.1,4.5,2.4,103.36,,,
2018,Q1,6.5,9,4.5,2,103.52,,,
2018,Q2,6.4,9.2,4,4.3,103.3533333,,,
2018,Q3,6.4,9.7,4.8,3.9,101.8333333,,,
2018,Q4,5.3,8.1,5.5,2.4,100.7566667,,,
2019,Q1,5.6,8.1,4.4,4.3,100.7033333,,,
2019,Q2,5.9,7.1,5.4,5.2,101.91,,,
2019,Q3,5.1,8.6,4,6.6,100.7233333,,,
2019,Q4,4.9,6.5,5.3,7.1,101.3033333,,,
2020,Q1,4.6,6.4,5.9,8.9,103.42,,,
2020,Q2,-4.1,7.3,5.3,7.6,102.52,,,
2020,Q3,-3.6,7.9,4.3,0.6,101.8733333,,,
2020,Q4,4.1,8.2,5.2,8.4,106.4966667,,,
2021,Q1,2.4,6.2,5.8,7.7,107.94,,,
2021,Q2,10.3,5.8,6,7.7,109.4933333,,,
2021,Q3,9.4,5.1,6.7,7,109.7466667,,,
2021,Q4,7.4,6.4,5.9,8.6,107.73,,,
2022,Q1,5.9,6.6,5.3,11.5,109.1766667,,,  
2022,Q2,4.9,4.2,7.2,12.3,111.8966667,,,
2022,Q3,4.3,3.1,8.7,12.5,113.7866667,,,
2022,Q4,3.9,3,9.4,12.5,116.3233333,,,
2023,Q1,5.5,3.8,9.1,11.5,119.3966667,,,
2023,Q2,5.6,4.1,7.9,12.2,121.9533333,,,
2023,Q3,5.9,5.2,7.1,12.6,126.3733333,,,
2023,Q4,5.4,6.8,6.7,13.9,137.13,,,
2024,Q1,5,10.3,6.3,5,144.05,,,
2024,Q2,4.6,11.2,4.8,4,151.84,,,
2024,Q3,4,12.8,4,1.3,149.6266667,,,
2024,Q4,5.1,13.5,2.8,-1.4,131.57,,,
